year,temp_max,temp_min
1965,26.26493150684932,18.529041095890413
1966,25.558082191780823,17.85232876712329
1967,26.57972602739726,18.35835616438356
1968,25.405464480874315,17.593169398907104
1969,25.206849315068492,17.92027397260274
1970,25.951232876712332,17.9572602739726
1971,26.54794520547945,18.577260273972602
1972,26.9896174863388,18.845901639344262
1973,26.32246575342466,18.555342465753423
1974,26.773698630136984,18.871506849315068
1975,27.24739726027397,18.994794520547945
1976,25.858196721311476,17.75409836065574
1977,25.90767123287671,17.824931506849317
1978,26.22986301369863,18.26109589041096
1979,26.092876712328767,18.196438356164382
1980,26.06584699453552,18.395628415300546
1981,26.148219178082194,17.956164383561642
1982,26.464657534246577,19.114794520547946
1983,25.115342465753425,18.12164383561644
1984,26.00655737704918,18.156284153005465
1985,26.344657534246572,18.853972602739727
1986,26.377260273972606,19.214794520547944
1987,25.715890410958902,18.536164383561644
1988,25.931147540983606,17.99535519125683
1989,26.889041095890413,18.74821917808219
1990,27.619726027397263,19.693972602739727
1991,26.78849315068493,19.587671232876712
1992,25.935792349726775,18.722404371584698
1993,26.06054794520548,18.646301369863014
1994,26.263287671232877,19.433424657534246
1995,25.873424657534244,18.794520547945204
1996,25.815300546448086,18.056284153005464
1997,26.42054794520548,19.127123287671232
1998,26.58958904109589,19.46191780821918
1999,26.431506849315067,18.716438356164385
2000,26.70191256830601,18.048907103825137
2001,26.66794520547945,18.651232876712328
2002,26.660273972602738,18.66821917808219
2003,26.094246575342464,18.485205479452055
2004,26.414480874316943,18.404098360655738
2005,26.016164383561645,18.425205479452053
2006,27.162739726027397,18.478904109589042
2007,27.231232876712326,19.030684931506848
2008,26.810928961748633,18.453278688524588
2009,26.89808219178082,18.642191780821918
2010,25.774794520547943,17.40821917808219
2011,27.283287671232877,18.96767123287671
2012,27.114207650273222,18.878415300546447
2013,27.096164383561646,18.957808219178084
2014,26.583013698630136,18.306027397260273
2015,27.589041095890412,20.05013698630137
2016,26.812841530054644,19.255737704918033
2017,27.07780821917808,19.263287671232877
2018,26.656164383561645,18.898904109589044
2019,27.19013698630137,19.37123287671233
2020,27.406830601092896,19.52431693989071
2021,26.852054794520548,18.995342465753424
2022,27.30109589041096,18.78109589041096
2023,28.40958904109589,19.42986301369863
